"Model","AIC"
"ARIMA(1,0,0)",4327.94476195592
"ARIMA(2,0,0)",4327.61460632087
"ARIMA(1,0,1)",4307.27969867299
"ARIMA(2,0,1)",4306.94998991117
"ARIMA(3,1,3)",4267.5747292403
