"Date","Mean","Lower95","Upper95"
2025.75,4.78806873925539,-9.45782718182916,19.0339646603399
2025.83333333333,4.8828507564795,-9.54383836243052,19.3095398753895
2025.91666666667,4.96584541481768,-9.52184988195431,19.4535407115897
2026,5.04330035217861,-9.4929805159637,19.5795812203209
2026.08333333333,5.11595891130522,-9.46265188412377,19.6945697067342
2026.16666666667,5.18414549111809,-9.43162361319214,19.7999145954283
2026.25,5.24813732943748,-9.40027943821829,19.8965540970933
2026.33333333333,5.30819262637642,-9.36891838474448,19.9853036374973
2026.41666666667,5.364553554023,-9.33778357964616,20.0668906876922
2026.5,5.41744737644251,-9.3070719204563,20.1419666733413
2026.58333333333,5.46708737653029,-9.27694126459223,20.2111160176528
2026.66666666667,5.51367371679115,-9.2475164624668,20.2748638960491
